code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level
NYK000,องครักษ์,14.11363,101.01955,องครักษ์,องครักษ์,นครนายก,แม่น้ำบางปะกง,ภาคตะวันออก,4.797,2.512,-3.96,
PAS004,วิเชียรบุรี,15.655744,101.101032,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,67.77,67.378,56.941,
STU001,เมืองสตูล,6.726689,100.062612,ฉลุง,เมืองสตูล,สตูล,ภาคใต้ฝั่งตะวันตก,ภาคใต้,15.148,15.139,12.922,
BKK015,คลองหกวา ลำลูกกา คลอง8,13.94155,100.77493,ลำลูกกา,ลำลูกกา,ปทุมธานี,แม่น้ำในกรุงเทพและปริมณฑล,กรุงเทพและปริมณฑล,2.706,2.789,-2.48,
CPY009,คลองโผงเผง,14.415810,100.440730,บางหลวงโดด,บางบาล,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,4.316,4.536,-5.407,4.6
KON005,บ้านดุง,17.639790,103.098958,นาคำ,บ้านดุง,อุดรธานี,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,162.162,161.306,151.111,
CPY011,พระนครศรีอยุธยา,14.369151,100.528514,ภูเขาทอง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,3.87,3.42,-3.929,4.58
CPY013,บางไทร,14.1187,100.535426,โพแตง,บางไทร,พระนครศรีอยุธยา,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,2.49,2.31,-10.18,2.49
KON002,เมืองเลย,17.509290,101.736390,ชัยพฤกษ์,เมืองเลย,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,236.879,238.082,229.13,
BKK008,คลองแสนแสบ บางกะปิ,13.761400,100.616060,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,แม่น้ำในกรุงเทพและปริมณฑล,กรุงเทพและปริมณฑล,0.922,0.881,-5.368,
KRN002,ไทรโยค,14.11254,99.14620,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,48.338,48.704,30.844,
BKK013,คลองระพีพัฒน์แยกใต้ หนองเสือ,14.22066,100.89169,นพรัตน์,หนองเสือ,ปทุมธานี,แม่น้ำในกรุงเทพและปริมณฑล,กรุงเทพและปริมณฑล,3.96,5.025,-0.58,
BKK019,คลองนราภิรมย์ (บางเลน),13.88213,100.29083,นราภิรมย์,บางเลน,นครปฐม,แม่น้ำในกรุงเทพและปริมณฑล,ภาคกลาง,4.337,3.96,-1.59,
CHR001,เมืองเชียงราย,19.826335,99.778917,ป่าอ้อดอนชัย,เมืองเชียงราย,เชียงราย,แม่น้ำโขง,ภาคเหนือ,404.204,404.562,399.85,
KRN001,เมืองกาญจนบุรี,14.0606,99.4832,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,แม่น้ำแม่กลอง,ภาคกลาง,28.893,25.593,20.106,
NAN012,เมืองพิษณุโลก,16.86488,100.24485,ปากโทก,เมืองพิษณุโลก,พิษณุโลก,แม่น้ำน่าน,ภาคเหนือ,45.044,45.36,33.617,
TPI007,วิภาวดี,9.20622,98.95229,ตะกุกเหนือ,วิภาวดี,สุราษฎร์ธานี,แม่น้ำตาปี,ภาคใต้,34.73,33.46,20.858,
TKP002,เมืองพังงา,8.47702,98.52825,ถ้ำน้ำผุด,เมืองพังงา,พังงา,ภาคใต้ฝั่งตะวันตก,ภาคใต้,12.778,11.723,2.01,
CHI014,เมืองยโสธร,15.96448,104.01530,เดิด,เมืองยโสธร,ยโสธร,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,128,128,120,
CHR005,เชียงแสน,20.22761,100.12858,เวียง,เชียงแสน,เชียงราย,แม่น้ำโขง,ภาคเหนือ,362.887,362.962,352.287,
PAI002,ปาย,19.37391,98.43965,เวียงเหนือ,ปาย,แม่ฮ่องสอน,แม่น้ำสาละวิน,ภาคเหนือ,506.531,506.657,499.607,
PYO001,ท้ายกว๊านพะเยา,19.15981,99.91450,เวียง,เมืองพะเยา,พะเยา,แม่น้ำยม,ภาคเหนือ,393.24,392.53,387.24,
YOM011,งาว,18.76083,99.97244,หลวงใต้,งาว,ลำปาง,แม่น้ำยม,ภาคเหนือ,270.07,270.61,268.19,
RAY001,เมืองแกลง,12.80299,101.65021,บ้านนา,แกลง,ระยอง,ชายฝั่งทะเลตะวันออก,ภาคตะวันออก,3.899,4.204,-0.158,
SKE001,คลองพระปรง,13.93735,101.92236,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,แม่น้ำปราจีนบุรี,ภาคตะวันออก,16.171,16.053,9.04,
JNA001,จะนะ,6.917060,100.729920,บ้านนา,จะนะ,สงขลา,ภาคใต้ฝั่งตะวันออก,ภาคใต้,4.334,4.774,0.514,
PCH001,เมืองเพชรบุรี,13.085558,99.943699,ต้นมะม่วง,เมืองเพชรบุรี,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,6.096,7.391,-0.353,
PCH002,แก่งกระจาน,12.9347,99.7805,วังจันทร์,แก่งกระจาน,เพชรบุรี,แม่น้ำเพชรบุรี,ภาคกลาง,24.105,23.312,17.144,
PRC001,กบินทร์บุรี,13.9866,101.705,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,แม่น้ำปราจีนบุรี,ภาคตะวันออก,11.75,11.62,0.44,
MUN016,ป่าติ้ว,15.83999,104.45570,เชียงเพ็ง,ป่าติ้ว,ยโสธร,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,102.733,102.973,96.203,
NAN009,เวียงสา,18.55018,100.76156,ส้าน,เวียงสา,น่าน,แม่น้ำน่าน,ภาคเหนือ,183.73,185.07,178.25,
CMP002,หลังสวน,9.95334,99.06411,ขันเงิน,หลังสวน,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,4.761,4.148,-3.609,
THA011,บางปลา,13.97050,100.15800,บางปลา,บางเลน,นครปฐม,แม่น้ำท่าจีน,ภาคกลาง,3.701,4.135,-2.028,
CPY015,สะพานกรุงเทพ,13.700918,100.492040,ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,กรุงเทพและปริมณฑล,2.58,2.78,-7.94,
CPY003,ปตร.มโนรมย์,15.327670,100.109090,วัดโคก,มโนรมย์,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,18.214,18.648,12.193,
PAI001,เมืองแม่ฮ่องสอน,19.36708,97.96655,ปางหมู,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,แม่น้ำสาละวิน,ภาคเหนือ,208.492,208.882,200.26,
CHM002,ฮอด,18.1785,98.6303,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,297.439,298.077,290.7,
