station_code,station_name,latitude,longitude,tambon,amphoe,province,basin,sub_basin,left_bank_msl,right_bank_msl,ground_level_msl
PIN006,เมืองกำแพงเพชร (P7A),16.47815,99.51863,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,ปิง,แม่น้ำปิงตอนล่าง,78.634,78.165,70.252
PRC001,กบินทร์บุรี,13.986638,101.705475,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,บางปะกง,แม่น้ำปราจีนบุรีตอนล่าง,11.431,11.539,-1.794
PRC002,เมืองปราจีนบุรี,14.053526,101.38687,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,บางปะกง,แม่น้ำปราจีนบุรีตอนล่าง,5.339,4.044,-4.865
PRC003,นาดี,14.133589,101.72767,สะพานหิน,นาดี,ปราจีนบุรี,บางปะกง,แม่น้ำหนุมาน,16.782,18.087,7.472
PRC004,ประจันตคาม (KGT7A),14.07091,101.51891,ประจันตคาม,ประจันตคาม,ปราจีนบุรี,บางปะกง,แม่น้ำปราจีนบุรีตอนล่าง,6.8545,6.6625,0.91
PRC005,ศรีมหาโพธิ (KGT6),13.973438,101.51753,บ้านทาม,ศรีมหาโพธิ,ปราจีนบุรี,บางปะกง,แม่น้ำปราจีนบุรีตอนล่าง,7.5808,7.9828,-2.56
PYO001,ท้ายกว๊านพะเยา,19.159813,99.91413,เวียง,เมืองพะเยา,พะเยา,โขงเหนือ,แม่น้ำอิงตอนบน,393.461,392.528,387.24
RAY001,เมืองแกลง,12.803016,101.65024,บ้านนา,แกลง,ระยอง,ชายฝั่งทะเลตะวันออก,แม่น้ำประแส,3.966,4.375,-2.445
RAY002,หนองบัว,12.849211,101.30128,หนองบัว,บ้านค่าย,ระยอง,ชายฝั่งทะเลตะวันออก,คลองใหญ่,17.008,15.967,8.57
RAY003,ทับมา,12.73787,101.22844,ทับมา,เมืองระยอง,ระยอง,ชายฝั่งทะเลตะวันออก,คลองใหญ่,11.482,12.266,8.18
RAY004,บ้านค่าย,12.706833,101.30044,ตาขัน,บ้านค่าย,ระยอง,ชายฝั่งทะเลตะวันออก,คลองใหญ่,5.191,3.333,0.13
RNG001,เมืองระนอง,9.961652,98.64457,เขานิเวศน์,เมืองระนอง,ระนอง,ภาคใต้ฝั่งตะวันตก,ภาคใต้ฝั่งตะวันตกตอนบน,10.752,14.568,7.368
SAY001,สุคิริน,5.9393053,101.77468,สุคิริน,สุคิริน,นราธิวาส,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี,104.101,102.481,86.833
SAY002,ศรีสาคร,6.2272553,101.49692,ศรีสาคร,ศรีสาคร,นราธิวาส,ภาคใต้ฝั่งตะวันออกตอนล่าง,แม่น้ำสายบุรี,35.04,35.03,22.49
SKE001,คลองพระปรง,13.937334,101.92216,บ้านแก้ง,เมืองสระแก้ว,สระแก้ว,บางปะกง,แม่น้ำพระปรงส่วนที่ 1,19.615,21.249,10.194
SKE002,เมืองสระแก้ว,13.809593,102.05429,สระขวัญ,เมืองสระแก้ว,สระแก้ว,บางปะกง,คลองพระสทึง,35.156,34.76,24.287
SKE003,คลองพรหมโหด,13.705829,102.48168,บ้านใหม่หนองไทร,อรัญประเทศ,สระแก้ว,โตนเลสาป,ห้วยพรมโหด,44.661,44.296,40.699
SKG002,เมืองอุทัยธานี,15.370821,100.04418,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,สะแกกรัง,แม่น้ำสะแกกรังตอนล่างส่วนที่ 3,17.66,19.999,10.539
SKG003,สะพานต้นน้ำ (เกาะแก้ว-ตลิ่งสูง),15.914381,99.41935,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,สะแกกรัง,น้ำแม่วง,119.23,118.12,102.34
SKG004,สะพานแม่เล่ย์,15.841719,99.418076,แม่เล่ย์,แม่วงก์,นครสวรรค์,สะแกกรัง,น้ำแม่วง,137.54,136.59,111.91
